id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
109,35,technician,married,tertiary,no,358,no,no,cellular,29,aug,92,9,-1,0,unknown,0
110,46,retired,married,secondary,no,2396,no,no,cellular,8,may,307,1,-1,0,unknown,0
111,35,blue-collar,single,secondary,no,448,no,yes,cellular,20,nov,1031,6,-1,0,unknown,0
112,34,technician,married,secondary,no,1137,no,no,cellular,29,jan,383,2,206,1,other,0
113,31,entrepreneur,married,tertiary,no,-231,yes,no,cellular,26,aug,221,2,-1,0,unknown,0
114,39,technician,single,tertiary,no,54,yes,no,cellular,3,apr,204,2,248,12,failure,0
115,32,unemployed,single,primary,yes,0,no,no,cellular,21,nov,149,1,-1,0,unknown,0
116,37,technician,divorced,secondary,no,2610,yes,no,cellular,13,may,53,1,-1,0,unknown,0
117,41,services,divorced,secondary,yes,-198,no,yes,unknown,14,may,133,1,-1,0,unknown,0
118,39,blue-collar,married,secondary,no,-66,no,yes,telephone,24,jul,626,5,-1,0,unknown,0
119,28,admin.,single,secondary,no,1238,yes,no,unknown,28,may,252,2,-1,0,unknown,0
120,34,blue-collar,married,primary,no,428,yes,no,cellular,18,may,59,2,-1,0,unknown,0
121,34,housemaid,married,primary,no,2929,no,no,cellular,14,aug,518,2,-1,0,unknown,1
122,32,services,single,secondary,no,335,yes,yes,unknown,4,jul,99,1,-1,0,unknown,0
123,70,retired,married,unknown,no,1236,no,no,cellular,12,mar,58,4,-1,0,unknown,0
124,30,unemployed,single,tertiary,no,4082,no,no,telephone,14,jun,215,1,459,17,other,0
125,52,technician,married,secondary,no,1373,no,no,cellular,27,oct,157,1,-1,0,unknown,0
126,51,technician,married,secondary,no,564,no,yes,cellular,8,jul,187,2,-1,0,unknown,0
127,41,blue-collar,married,primary,no,620,no,no,cellular,28,jan,314,1,-1,0,unknown,0
128,39,blue-collar,married,primary,no,176,yes,yes,cellular,3,apr,189,2,-1,0,unknown,0
129,44,housemaid,married,secondary,no,2541,no,no,cellular,27,aug,138,3,-1,0,unknown,0
130,58,retired,married,secondary,no,2609,no,no,cellular,12,aug,136,5,-1,0,unknown,0
131,34,technician,married,secondary,no,134,no,no,cellular,8,aug,104,4,-1,0,unknown,0
132,38,technician,married,secondary,no,740,no,no,cellular,7,aug,259,3,-1,0,unknown,0
133,30,technician,single,tertiary,no,432,yes,yes,unknown,3,jun,180,3,-1,0,unknown,0
134,48,blue-collar,married,primary,no,1092,no,yes,cellular,18,nov,79,1,172,8,failure,0
135,58,unemployed,married,tertiary,no,1798,yes,no,cellular,5,feb,19,8,-1,0,unknown,0
136,34,entrepreneur,married,secondary,no,2,yes,yes,cellular,5,may,184,1,167,6,failure,0
137,31,services,married,primary,no,-212,no,yes,cellular,20,nov,911,4,-1,0,unknown,0
138,37,entrepreneur,married,primary,no,0,no,no,cellular,25,may,163,1,-1,0,unknown,0
139,57,retired,divorced,primary,no,698,no,no,telephone,1,jun,53,2,-1,0,unknown,0
140,28,student,single,secondary,no,2351,no,no,telephone,22,oct,157,1,-1,0,unknown,1
141,32,services,single,secondary,no,545,yes,no,cellular,18,may,192,1,180,1,failure,0
142,32,blue-collar,married,secondary,no,-667,yes,no,cellular,18,may,152,7,349,1,other,0
143,39,management,single,tertiary,no,2357,yes,no,cellular,20,apr,64,3,273,1,failure,0
144,41,management,single,tertiary,no,11008,no,no,unknown,18,jun,1540,1,-1,0,unknown,1
145,47,services,married,secondary,no,612,no,no,cellular,26,aug,139,4,-1,0,unknown,0
146,28,blue-collar,single,secondary,yes,0,yes,no,unknown,4,jun,237,1,-1,0,unknown,0
147,26,admin.,single,secondary,no,0,yes,no,cellular,13,may,204,3,-1,0,unknown,0
148,60,management,married,secondary,no,164,no,yes,cellular,8,jul,171,1,-1,0,unknown,0
149,49,housemaid,married,primary,no,0,yes,no,cellular,25,jul,42,3,-1,0,unknown,0
150,32,blue-collar,divorced,secondary,no,8,yes,no,cellular,16,jul,226,1,-1,0,unknown,0
151,25,blue-collar,single,secondary,no,0,yes,no,cellular,13,may,44,9,-1,0,unknown,0
152,25,student,married,secondary,no,37,no,no,unknown,24,jul,11,1,-1,0,unknown,0
153,57,unemployed,divorced,secondary,no,2762,no,no,telephone,19,nov,100,1,-1,0,unknown,0
154,50,management,married,tertiary,no,15442,no,no,unknown,5,jun,91,1,-1,0,unknown,0
155,39,management,married,primary,no,1749,yes,no,unknown,29,may,46,1,-1,0,unknown,0
156,34,management,married,tertiary,no,1778,no,no,cellular,5,feb,99,1,93,3,success,0
157,38,blue-collar,married,secondary,no,926,no,yes,unknown,6,jun,189,3,-1,0,unknown,0
158,30,services,single,secondary,no,572,yes,no,cellular,5,may,237,1,319,4,other,0
159,28,management,single,tertiary,no,145,yes,no,cellular,20,apr,277,1,-1,0,unknown,0
160,31,management,single,tertiary,no,1308,no,no,cellular,22,aug,323,3,-1,0,unknown,0
161,32,management,married,secondary,no,6217,yes,yes,unknown,21,may,486,2,-1,0,unknown,0
162,28,self-employed,single,tertiary,no,159,no,no,cellular,16,nov,449,2,33,4,success,1
163,35,blue-collar,divorced,secondary,no,0,no,no,cellular,15,jul,129,2,-1,0,unknown,0
164,48,blue-collar,married,secondary,no,863,yes,no,telephone,4,may,412,5,350,2,success,1
165,30,technician,single,secondary,no,-232,no,yes,cellular,7,aug,118,2,-1,0,unknown,0
166,46,management,married,secondary,no,5127,no,no,cellular,6,aug,472,1,-1,0,unknown,0
167,40,blue-collar,married,secondary,no,4853,no,no,cellular,31,jul,234,2,-1,0,unknown,0
168,37,blue-collar,married,primary,no,-196,yes,no,unknown,26,may,166,2,-1,0,unknown,0
169,54,self-employed,married,tertiary,no,542,no,no,telephone,6,feb,48,5,-1,0,unknown,0
170,26,blue-collar,married,secondary,no,1702,yes,yes,cellular,18,may,21,1,-1,0,unknown,0
171,52,services,married,secondary,no,2257,yes,no,unknown,14,may,203,1,-1,0,unknown,0
172,67,self-employed,married,tertiary,no,1979,no,no,cellular,10,sep,105,2,-1,0,unknown,0
173,33,management,divorced,tertiary,no,2240,no,no,cellular,3,jun,198,1,-1,0,unknown,1
174,42,blue-collar,married,primary,no,1687,yes,no,cellular,18,may,14,3,178,3,other,0
175,56,admin.,married,secondary,no,5310,no,no,unknown,19,jun,74,1,-1,0,unknown,0
176,35,management,married,tertiary,no,0,yes,no,cellular,16,apr,563,1,-1,0,unknown,0
177,38,entrepreneur,married,secondary,no,351,yes,no,cellular,4,feb,112,1,244,3,failure,0
178,33,self-employed,married,tertiary,no,-103,yes,no,unknown,28,may,268,1,-1,0,unknown,0
179,30,management,married,tertiary,no,860,yes,no,cellular,20,apr,185,1,-1,0,unknown,0
180,35,management,single,tertiary,no,2646,no,no,cellular,14,apr,133,8,183,2,success,1
181,45,technician,married,primary,no,718,yes,no,unknown,14,may,135,1,-1,0,unknown,0
182,28,blue-collar,single,secondary,no,0,yes,no,cellular,8,may,191,3,-1,0,unknown,0
183,58,admin.,married,unknown,no,5763,no,no,cellular,20,nov,52,1,-1,0,unknown,0
184,58,technician,married,secondary,no,0,yes,no,cellular,15,jul,53,1,-1,0,unknown,0
185,27,student,single,secondary,no,217,yes,no,unknown,8,may,319,1,-1,0,unknown,0
186,39,blue-collar,married,secondary,no,1508,no,no,cellular,23,jul,281,1,-1,0,unknown,0
187,40,admin.,single,secondary,no,100,yes,no,cellular,11,aug,221,1,461,1,success,1
188,37,technician,married,secondary,no,1610,no,no,unknown,16,jun,140,2,-1,0,unknown,0
189,58,housemaid,married,primary,no,260,yes,no,telephone,15,may,71,5,364,3,failure,0
190,60,retired,single,secondary,no,1625,no,no,unknown,12,jun,119,1,-1,0,unknown,0
191,48,admin.,married,primary,no,3,yes,no,cellular,3,feb,69,1,252,4,failure,0
192,45,services,married,secondary,no,-3,yes,no,unknown,13,may,213,1,-1,0,unknown,0
193,38,admin.,married,primary,no,3,yes,yes,unknown,5,jun,124,2,-1,0,unknown,0
194,29,management,single,tertiary,no,573,yes,yes,unknown,16,jun,190,4,-1,0,unknown,0
195,39,technician,married,secondary,no,504,yes,no,unknown,12,may,495,1,-1,0,unknown,0
196,43,blue-collar,married,unknown,no,1123,yes,no,cellular,16,apr,191,2,322,3,failure,0
197,33,technician,married,tertiary,no,980,no,no,cellular,12,aug,172,2,-1,0,unknown,0
198,32,technician,single,secondary,no,0,no,no,cellular,20,aug,92,4,-1,0,unknown,0
199,62,unemployed,married,secondary,no,1625,no,no,telephone,23,apr,155,1,-1,0,unknown,0
200,49,technician,divorced,secondary,no,-39,yes,yes,cellular,24,jul,147,3,-1,0,unknown,0
201,41,admin.,divorced,secondary,no,-365,yes,no,unknown,28,may,226,10,-1,0,unknown,0
202,56,management,married,tertiary,no,1282,no,no,cellular,19,aug,323,4,-1,0,unknown,0
203,39,technician,single,tertiary,no,610,no,no,unknown,20,jun,241,2,-1,0,unknown,0
204,50,management,married,tertiary,no,2479,no,no,cellular,17,nov,259,1,-1,0,unknown,0
205,47,unemployed,married,secondary,no,955,yes,no,unknown,13,may,47,1,-1,0,unknown,0
206,48,blue-collar,married,secondary,no,1791,no,no,cellular,7,aug,63,2,-1,0,unknown,0
207,42,admin.,single,secondary,no,1601,no,no,unknown,20,jun,23,2,-1,0,unknown,0
208,59,management,single,tertiary,no,705,no,no,cellular,3,feb,537,4,-1,0,unknown,0
209,45,unemployed,married,secondary,no,2040,no,no,telephone,2,feb,803,1,-1,0,unknown,1
210,46,technician,divorced,tertiary,no,288,yes,no,unknown,9,may,166,1,-1,0,unknown,0
211,36,self-employed,single,primary,no,235,yes,no,unknown,29,may,141,9,-1,0,unknown,0
212,53,blue-collar,married,secondary,no,21522,no,no,unknown,24,jun,146,4,-1,0,unknown,0
213,49,blue-collar,married,primary,no,0,yes,no,unknown,6,jun,286,2,-1,0,unknown,0
214,33,management,single,secondary,no,20600,no,no,cellular,20,nov,125,1,-1,0,unknown,0
215,27,management,single,tertiary,no,522,no,no,cellular,15,jun,79,1,-1,0,unknown,0
216,34,blue-collar,married,secondary,no,1454,yes,no,cellular,11,feb,231,2,297,2,failure,1
217,55,blue-collar,married,secondary,no,0,no,no,unknown,16,jun,73,3,-1,0,unknown,0
218,34,housemaid,married,tertiary,no,1265,yes,no,unknown,6,jun,397,3,-1,0,unknown,0
219,30,self-employed,single,tertiary,no,655,no,no,cellular,23,sep,272,4,184,1,success,1
220,30,services,single,tertiary,no,1788,no,no,cellular,4,aug,288,1,181,2,failure,1
221,57,retired,married,secondary,no,703,yes,no,unknown,15,may,405,2,-1,0,unknown,0
222,37,management,married,tertiary,no,887,no,no,cellular,13,aug,257,5,-1,0,unknown,0
223,49,housemaid,married,primary,no,0,no,no,telephone,9,jul,106,1,-1,0,unknown,0
224,42,blue-collar,married,secondary,no,3396,yes,yes,telephone,20,nov,93,4,-1,0,unknown,0
225,43,management,married,tertiary,no,68,yes,no,cellular,17,nov,31,2,-1,0,unknown,0
226,40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267,4,270,3,other,0
227,60,technician,married,secondary,no,955,no,no,cellular,18,aug,37,3,-1,0,unknown,0
228,70,retired,married,secondary,no,2064,no,no,cellular,22,oct,334,1,-1,0,unknown,0
229,42,admin.,divorced,secondary,no,-249,yes,no,cellular,14,jul,149,3,-1,0,unknown,0
230,27,admin.,married,secondary,no,102,yes,no,cellular,29,jan,123,2,-1,0,unknown,0
231,39,services,married,secondary,no,173,yes,no,cellular,18,nov,96,2,182,2,failure,0
232,43,management,married,tertiary,no,254,yes,yes,cellular,15,jul,104,3,-1,0,unknown,0
233,53,technician,married,secondary,no,31,yes,no,unknown,16,may,90,2,-1,0,unknown,0
234,37,blue-collar,divorced,secondary,no,277,no,yes,cellular,8,jul,338,2,-1,0,unknown,0
235,57,services,married,secondary,no,504,no,no,cellular,8,aug,177,2,-1,0,unknown,0
236,43,retired,single,primary,no,140,no,yes,telephone,9,jul,52,1,-1,0,unknown,0
237,43,technician,married,secondary,no,-705,yes,no,cellular,27,aug,125,6,-1,0,unknown,0
238,49,blue-collar,married,primary,no,418,no,no,cellular,18,aug,1559,7,-1,0,unknown,0
239,31,admin.,single,secondary,no,430,yes,no,cellular,15,apr,103,2,-1,0,unknown,0
240,28,student,single,secondary,no,0,no,no,cellular,18,feb,209,20,-1,0,unknown,1
241,29,student,single,secondary,no,658,no,no,cellular,15,jul,198,2,244,4,other,1
242,36,management,married,tertiary,no,269,yes,no,cellular,11,may,155,2,-1,0,unknown,0
243,35,technician,married,tertiary,no,22,no,no,cellular,11,aug,109,1,-1,0,unknown,0
244,37,management,married,tertiary,no,21,yes,no,unknown,29,may,52,2,-1,0,unknown,0
245,27,services,single,secondary,no,1820,yes,no,cellular,17,jul,1027,1,-1,0,unknown,1
246,30,technician,married,secondary,no,-189,no,no,cellular,19,aug,105,2,-1,0,unknown,0
247,29,management,single,tertiary,no,144,yes,no,unknown,2,jun,105,3,-1,0,unknown,0
248,49,management,married,secondary,no,99,yes,no,cellular,6,may,687,2,343,1,failure,1
249,47,technician,single,unknown,no,77,yes,no,unknown,9,may,83,4,-1,0,unknown,0
250,41,management,single,tertiary,no,8368,no,no,unknown,11,jun,179,1,-1,0,unknown,0
251,48,management,married,unknown,no,54,yes,no,unknown,16,may,293,7,-1,0,unknown,0
252,51,housemaid,married,primary,no,382,no,yes,cellular,15,jul,56,3,-1,0,unknown,0
253,60,unemployed,divorced,secondary,no,385,yes,no,cellular,4,feb,80,1,-1,0,unknown,0
254,57,blue-collar,divorced,primary,no,5041,yes,no,cellular,16,apr,284,1,336,1,failure,0
255,28,blue-collar,single,primary,no,0,yes,yes,unknown,3,jun,380,4,-1,0,unknown,0
256,61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,2,-1,0,unknown,1
257,36,self-employed,married,primary,no,1094,yes,no,cellular,8,apr,291,1,335,1,failure,0
258,22,student,single,secondary,no,254,no,no,cellular,13,jan,143,2,-1,0,unknown,1
259,35,technician,married,secondary,yes,-1322,yes,no,cellular,30,jul,105,11,-1,0,unknown,0
260,34,blue-collar,single,secondary,no,1759,no,yes,cellular,25,jul,695,1,-1,0,unknown,1
261,48,technician,married,tertiary,no,658,yes,no,cellular,17,jul,89,1,-1,0,unknown,0
262,33,technician,single,tertiary,no,8097,no,yes,cellular,21,aug,500,2,-1,0,unknown,0
263,31,management,single,tertiary,no,385,yes,no,unknown,21,may,304,1,-1,0,unknown,0
264,26,management,single,tertiary,no,2692,no,no,unknown,28,may,159,2,-1,0,unknown,0
265,36,blue-collar,married,secondary,no,139,yes,no,unknown,6,may,309,2,-1,0,unknown,0
266,39,blue-collar,married,secondary,no,1045,yes,yes,cellular,9,jul,290,13,-1,0,unknown,0
267,40,services,single,secondary,no,4126,no,no,cellular,4,feb,671,2,-1,0,unknown,0
268,32,management,married,tertiary,no,0,no,no,cellular,28,aug,74,2,-1,0,unknown,0
269,45,blue-collar,married,unknown,no,550,no,yes,unknown,20,jun,97,1,-1,0,unknown,0
270,40,management,married,tertiary,no,1217,yes,yes,cellular,18,nov,155,1,-1,0,unknown,0
271,51,admin.,divorced,secondary,no,-20,no,no,unknown,1,jul,58,1,-1,0,unknown,0
272,44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,28,aug,210,3,-1,0,unknown,0
273,34,technician,single,tertiary,no,-554,yes,yes,cellular,31,jul,68,3,-1,0,unknown,0
274,45,services,married,secondary,no,-1621,yes,yes,cellular,15,may,8,2,346,5,failure,0
275,40,technician,married,secondary,no,1232,no,no,cellular,28,aug,175,11,-1,0,unknown,0
276,51,management,married,tertiary,no,307,yes,no,unknown,30,may,206,2,-1,0,unknown,0
277,57,management,married,secondary,no,7162,no,no,cellular,17,nov,83,1,-1,0,unknown,0
278,30,blue-collar,single,secondary,no,4,no,no,cellular,15,apr,692,1,-1,0,unknown,0
279,54,self-employed,married,secondary,no,641,yes,no,cellular,20,nov,399,2,-1,0,unknown,0
280,28,admin.,married,secondary,no,0,yes,yes,cellular,26,may,89,1,-1,0,unknown,0
281,49,housemaid,married,primary,no,3376,no,no,unknown,9,jun,119,3,-1,0,unknown,0
282,39,technician,married,secondary,no,3494,yes,no,cellular,19,nov,139,1,92,4,failure,0
283,53,technician,married,secondary,no,56,yes,yes,unknown,5,may,152,2,-1,0,unknown,0
284,35,self-employed,married,tertiary,no,1178,yes,yes,cellular,15,apr,220,2,183,5,failure,0
285,36,technician,married,tertiary,no,4596,yes,no,cellular,16,apr,901,2,-1,0,unknown,1
286,40,admin.,single,secondary,no,5061,no,yes,cellular,3,feb,63,2,-1,0,unknown,0
287,40,blue-collar,married,primary,no,669,yes,no,unknown,26,may,161,3,-1,0,unknown,0
288,32,technician,single,secondary,no,284,no,no,cellular,29,aug,161,2,-1,0,unknown,0
289,35,blue-collar,married,unknown,no,245,yes,no,cellular,11,may,134,2,370,1,failure,0
290,35,blue-collar,divorced,primary,no,-5,no,no,unknown,6,jun,48,5,-1,0,unknown,0
291,31,services,single,secondary,no,1599,no,no,cellular,30,apr,226,1,78,2,success,0
292,44,management,married,tertiary,no,5282,yes,no,unknown,30,may,274,1,-1,0,unknown,0
293,34,technician,single,secondary,no,951,yes,no,unknown,21,may,343,1,-1,0,unknown,0
294,49,management,married,tertiary,no,-969,no,no,cellular,30,jan,61,2,2,1,other,0
295,73,retired,married,unknown,no,3443,no,no,telephone,4,sep,770,3,-1,0,unknown,1
296,38,unemployed,married,primary,no,113,yes,no,unknown,16,may,27,2,-1,0,unknown,0
297,56,housemaid,divorced,secondary,no,0,no,no,unknown,15,may,103,1,-1,0,unknown,0
298,27,admin.,single,tertiary,no,4738,no,no,cellular,13,jul,752,1,-1,0,unknown,0
